region,municipality,settlement,cadastral_number,area_m2,cadastral_value,land_category,permitted_use_raw,address,lat,lon,source,notes
Синтетический регион Север,Тестовый промышленный округ,Посёлок Пилотный,SYNTH-IND-001,12000,18000000,Земли населённых пунктов,Промышленное производство — кирпичный завод,Условная Промышленная улица 1,55.0001,85.0001,synthetic,Полностью синтетическая запись
Синтетический регион Север,Тестовый промышленный округ,Посёлок Пилотный,SYNTH-IND-002,8500,10625000,Земли населённых пунктов,Производственная площадка металлообрабатывающего цеха,Условная Промышленная улица 2,55.0002,85.0002,synthetic,Полностью синтетическая запись
Синтетический регион Север,Тестовый промышленный округ,Посёлок Пилотный,SYNTH-WHS-001,6400,7680000,Земли населённых пунктов,Складской комплекс и складское хранение,Условный Складской проезд 1,55.0003,85.0003,synthetic,Полностью синтетическая запись
Синтетический регион Север,Тестовый коммунальный округ,Посёлок Пилотный,SYNTH-UTL-001,4300,3440000,Земли населённых пунктов,Коммунально-производственная зона и очистные сооружения,Условный Коммунальный проезд 1,55.0004,85.0004,synthetic,Полностью синтетическая запись
Синтетический регион Север,Тестовый транспортный округ,Посёлок Пилотный,SYNTH-LOG-001,9700,14550000,Земли населённых пунктов,Транспортно-логистический центр,Условный Логистический проезд 1,55.0005,85.0005,synthetic,Полностью синтетическая запись
Синтетический регион Север,Тестовый жилой округ,Посёлок Пилотный,SYNTH-EXC-IZHS,1400,2100000,Земли населённых пунктов,Для индивидуального жилищного строительства (ИЖС),Условная Жилая улица 1,55.0006,85.0006,synthetic,Полностью синтетическая запись
Синтетический регион Север,Тестовый жилой округ,Посёлок Пилотный,SYNTH-EXC-LPH,2100,1680000,Земли населённых пунктов,Для ведения личного подсобного хозяйства (ЛПХ),Условная Полевая улица 1,55.0007,85.0007,synthetic,Полностью синтетическая запись
Синтетический регион Север,Тестовый садовый округ,Товарищество Учебное,SYNTH-EXC-SNT,900,540000,Земли населённых пунктов,Для ведения садоводства в СНТ,Условная Садовая линия 1,55.0008,85.0008,synthetic,Полностью синтетическая запись
Синтетический регион Юг,Тестовый сельский округ,Село Модельное,SYNTH-EXC-AGR,50000,2500000,Земли сельскохозяйственного назначения,Для сельскохозяйственного производства,Условное поле 1,54.0001,86.0001,synthetic,Полностью синтетическая запись
Синтетический регион Юг,Тестовый транспортный округ,Посёлок Модельный,SYNTH-EXC-ROAD,18000,9000000,Земли транспорта,Полоса отвода автомобильной дороги,Условный дорожный участок 1,54.0002,86.0002,synthetic,Полностью синтетическая запись
Синтетический регион Юг,Тестовый инфраструктурный округ,Посёлок Модельный,SYNTH-EXC-LINE,7600,3800000,Земли промышленности,Для размещения линейного объекта — газопровода,Условный линейный участок 1,54.0003,86.0003,synthetic,Полностью синтетическая запись
Синтетический регион Юг,Тестовый смешанный округ,Посёлок Модельный,SYNTH-MAN-001,3300,2970000,Земли населённых пунктов,Для иных видов использования,Условный резервный участок 1,54.0004,86.0004,synthetic,Ожидается manual_review
Синтетический регион Юг,Тестовый смешанный округ,Посёлок Модельный,SYNTH-MAN-002,2900,2610000,Земли населённых пунктов,,Условный участок без ВРИ 1,54.0005,86.0005,synthetic,Пустой ВРИ для проверки manual_review
Синтетический регион Юг,Тестовый промышленный округ,Посёлок Модельный,SYNTH-INV-AREA,0,5000000,Земли промышленности,Промышленная площадка,Условный некорректный участок 1,54.0006,86.0006,synthetic,Нулевая площадь для проверки валидации
Синтетический регион Юг,Тестовый промышленный округ,Посёлок Модельный,SYNTH-INV-VALUE,5100,0,Земли промышленности,Складская база,Условный некорректный участок 2,54.0007,86.0007,synthetic,Нулевая стоимость для проверки валидации
